en,ko
Hiding Darkness Energy,하이드 악 에너지
Holon Energy FF,홀론 에너지 FF
Holon Energy GL,홀론 에너지 GL
Holon Energy WP,홀론 에너지 WP
Horror Psychic Energy,호러 초 에너지
Ignition Energy,이그니션 에너지
Impact Energy,임팩트 에너지
Jet Energy,제트 에너지
Legacy Energy,레거시 에너지
Lightning Energy,번개 에너지
Lucky Energy,럭키 에너지
Luminous Energy,루미너스 에너지
Magma Energy,마그마 에너지
Magnetic Metal Energy,마그네틱 강철 에너지
Medical Energy,메디컬 에너지
Memory Energy,메모리 에너지
Metal Energy,강철 에너지
Miracle Energy,미라클 에너지
Mist Energy,미스트 에너지
Multi Energy,멀티 에너지
Mystery Energy,미스터리 에너지
Neo Upper Energy,네오 어퍼 에너지
Nitro Fire Energy,니트로 불꽃 에너지
Plasma Energy,플라즈마 에너지
Potion Energy,상처약 에너지
Powerful Colorless Energy,파워풀 무색 에너지
Prism Energy,프리즘 에너지
Psychic Energy,초 에너지
R Energy,R 에너지
Rainbow Energy,레인보우 에너지
Rapid Strike Energy,연격 에너지
React Energy,리액트 에너지
Recover Energy,리커버 에너지
Recycle Energy,리사이클 에너지
Regenerative Energy,리게인 에너지
Rescue Energy,레스큐 에너지
Retro Energy,레트로 에너지
Reversal Energy,리버설 에너지
Rocky Fighting Energy,록 격투 에너지
Scramble Energy,스크램블 에너지
Shadowy Darkness Energy,섀도 악 에너지
Shield Energy,실드 에너지
Single Strike Energy,일격 에너지
SP Energy,SP 에너지
Speed Lightning Energy,스피드 번개 에너지
Spiky Energy,스파이크 에너지
Spiral Energy,스파이럴 에너지
Splash Energy,스플래시 에너지
Stone Fighting Energy,스톤 격투 에너지
Strong Energy,스트롱 에너지
Super Boost Energy ◇,초 부스트 에너지 ◇
Team Rocket's Energy,로켓단의 에너지
Telepathic Psychic Energy,텔레패스 초 에너지
Therapeutic Energy,테라피 에너지
Treasure Energy,트레져 에너지
Triple Acceleration Energy,트리플 가속 에너지
Twin Energy,트윈 에너지
Unit Energy FightingDarknessFairy,유닛 에너지 격투 악 페어리
Unit Energy GrassFireWater,유닛 에너지 풀 불꽃 물
Unit Energy LightningPsychicMetal,유닛 에너지 번개 초 강철
Upper Energy,어퍼 에너지
V Guard Energy,V가드 에너지
Voltaic Lightning Energy,볼트 번개 에너지
Warp Energy,워프 에너지
Wash Water Energy,워시 물 에너지
Water Energy,물 에너지
Weakness Guard Energy,위크가드 에너지
Wonder Energy,원더 에너지
δ Rainbow Energy,델타 레인보우 에너지
